epoch,train_loss,val_prauc,val_f1
1,2.393632173538208,0.20110145658489242,0.05949243088042926
2,2.3351199626922607,0.24302699385808468,0.07026879562522619
3,2.278942584991455,0.28565880188372805,0.0828203180028777
4,2.228424072265625,0.3359776415623275,0.12065798494965466
5,2.179729700088501,0.37379526236975397,0.1587378544386178
6,2.1368117332458496,0.39419621027805685,0.217130152696724
7,2.0937302112579346,0.40974524558289593,0.2681637809906357
8,2.053985834121704,0.4252026498719131,0.28283747383221985
9,2.0139875411987305,0.44225543134310286,0.3075456714508947
10,1.9752057790756226,0.460279721626879,0.3198840900736222
11,1.9358550310134888,0.47686004997847886,0.33639382994061573
12,1.8971413373947144,0.4922468415008463,0.355925536082734
13,1.8570528030395508,0.5061006555982931,0.3709034205793881
14,1.8159563541412354,0.5190470922476125,0.38104929852320013
15,1.7717266082763672,0.531430346789317,0.38757685785647883
16,1.7287782430648804,0.5438596645210588,0.3929016439250051
17,1.6847599744796753,0.5563371172397416,0.3959743308511026
18,1.6384930610656738,0.5689693979875612,0.39920979809465446
19,1.5926584005355835,0.581584409350201,0.4006725928330962
20,1.5460559129714966,0.5939758082971576,0.40202406713015093
21,1.4982532262802124,0.6062887454540214,0.4028198554909967
22,1.451074481010437,0.6186359922073127,0.4041176761296051
23,1.4060567617416382,0.630820250398333,0.4050957631109122
24,1.3603286743164062,0.6426230274333385,0.4072719790715044
25,1.3149218559265137,0.6542696315894759,0.41001707108937196
26,1.2721846103668213,0.6657433873577087,0.41371909235733884
27,1.2307777404785156,0.6769575174302489,0.41816224612586234
28,1.1909092664718628,0.687787190872053,0.4235605237516898
29,1.148563027381897,0.6982234082941865,0.43097325720487784
30,1.1124211549758911,0.7083180258545991,0.43833211963753055
31,1.0765494108200073,0.7178327685311449,0.4465307319606163
32,1.0421323776245117,0.7267710070303028,0.45556526022564425
33,1.009124755859375,0.7353017918891666,0.4658042985077055
34,0.9792951345443726,0.7433669355988833,0.4777279629408932
35,0.9493734240531921,0.7509626533206841,0.48966617791700195
36,0.9239745140075684,0.7580261450397313,0.5007375694153514
37,0.8966405391693115,0.7645674807015641,0.5113778172636582
38,0.8703510165214539,0.7707059384155951,0.5211514596048874
39,0.8478829264640808,0.7763640298790802,0.5299943331008048
40,0.826593279838562,0.7815514259722378,0.5392913950117891
41,0.8053903579711914,0.7862607130749555,0.5483928701677466
42,0.7848528027534485,0.7905810224395089,0.5576403253298209
43,0.7647047638893127,0.7946571978511794,0.5664285462318537
44,0.7459887862205505,0.7986702308939893,0.5755265943918398
45,0.7279292941093445,0.802759130475249,0.5851018551537847
46,0.7102727890014648,0.8070661935775697,0.595653752045136
47,0.6917670965194702,0.8116608385935077,0.6074523699255747
48,0.6759050488471985,0.816542850047644,0.6177743006923827
49,0.6603003144264221,0.8216459851845176,0.6278443869571283
50,0.6447452902793884,0.8269454550888397,0.6372252988285972
